"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","6/85","134/10856",0.000622349636493445,0.00523110099863409,0.00370045729806913,"6678/7114/7078/2335/2244/2266",6
"R-HSA-168898","R-HSA-168898","Toll-like Receptor Cascades","6/85","157/10856",0.0014195200902976,0.0107675792215257,0.00761693706988957,"2353/1514/1513/5641/2244/2266",6
"R-HSA-3000480","R-HSA-3000480","Scavenging by Class A Receptors","5/85","19/10856",2.78730717085602e-07,4.81584738964567e-06,3.40670876437958e-06,"1281/2512/1278/348/1277",5
"R-HSA-76009","R-HSA-76009","Platelet Aggregation (Plug Formation)","5/85","39/10856",1.22044268706427e-05,0.000172526216216813,0.000122044268706427,"1278/1277/2335/2244/2266",5
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","5/85","47/10856",3.09568997342663e-05,0.000385103832694273,0.000272420717661543,"715/712/716/718/1604",5
"R-HSA-166658","R-HSA-166658","Complement cascade","5/85","58/10856",8.64408768821591e-05,0.000995670841124129,0.000704333070891667,"715/712/716/718/1604",5
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","5/85","105/10856",0.00136679775164854,0.0106268525190674,0.00751738763406699,"567/1514/2244/9902/2266",5
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","5/85","123/10856",0.00274107160750097,0.0189713352363735,0.0134202371447015,"972/1514/1513/5641/10484",5
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","5/85","137/10856",0.00435275208336333,0.0250686277393703,0.0177334344137025,"972/1278/1277/2335/960",5
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","5/85","143/10856",0.00521670779367242,0.0279723469626228,0.0197875123208264,"1634/4060/7058/1462/9509",5
"R-HSA-166663","R-HSA-166663","Initial triggering of complement","4/85","23/10856",2.76692825231418e-05,0.000358547786029046,0.000253635089795467,"715/712/716/718",4
"R-HSA-1566948","R-HSA-1566948","Elastic fibre formation","4/85","45/10856",0.000408377907045595,0.00373545673797589,0.00264244528088326,"4015/2199/2335/4237",4
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","4/85","91/10856",0.00557974958103809,0.0284891029674251,0.0201530631923907,"6772/567/960/2633",4
"R-HSA-1679131","R-HSA-1679131","Trafficking and processing of endosomal TLR","3/85","13/10856",0.000125200850424874,0.00139062373150485,0.000983720967624011,"1514/1513/5641",3
"R-HSA-166786","R-HSA-166786","Creation of C4 and C2 activators","3/85","14/10856",0.000158446369073545,0.00169920071661629,0.0012020069377993,"715/712/716",3
"R-HSA-354194","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","3/85","15/10856",0.000196939458672909,0.00197574747249273,0.00139763486800129,"2335/2244/2266",3
"R-HSA-372708","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/85","15/10856",0.000196939458672909,0.00197574747249273,0.00139763486800129,"2335/2244/2266",3
"R-HSA-2243919","R-HSA-2243919","Crosslinking of collagen fibrils","3/85","18/10856",0.000347246169071441,0.00327253207821873,0.00231497446047627,"4015/1278/1277",3
"R-HSA-354192","R-HSA-354192","Integrin signaling","3/85","27/10856",0.00118302332893969,0.00968211198158532,0.00684908243070344,"2335/2244/2266",3
"R-HSA-1251985","R-HSA-1251985","Nuclear signaling by ERBB4","3/85","32/10856",0.00195033946643462,0.0144417993824088,0.0102160638718004,"6678/6387/348",3
"R-HSA-114604","R-HSA-114604","GPVI-mediated activation cascade","3/85","35/10856",0.00253048889728949,0.0183019080710937,0.0129466873814811,"10630/1278/1277",3
"R-HSA-6802948","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","3/85","36/10856",0.00274504850687076,0.0189713352363735,0.0134202371447015,"2335/2244/2266",3
"R-HSA-2129379","R-HSA-2129379","Molecules associated with elastic fibres","3/85","38/10856",0.00320704354366467,0.020354909022035,0.014398971012372,"2199/2335/4237",3
"R-HSA-445355","R-HSA-445355","Smooth Muscle Contraction","3/85","40/10856",0.00371402603560635,0.0226482764132074,0.016021288781047,"302/800/7171",3
"R-HSA-5674135","R-HSA-5674135","MAP2K and MAPK activation","3/85","40/10856",0.00371402603560635,0.0226482764132074,0.016021288781047,"2335/2244/2266",3
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","3/85","41/10856",0.0039847977131006,0.0233824922410243,0.0165406697524931,"1634/4060/1462",3
"R-HSA-9656223","R-HSA-9656223","Signaling by RAF1 mutants","3/85","43/10856",0.00456167166771285,0.0253335694403339,0.0179208529803005,"2335/2244/2266",3
"R-HSA-6802946","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","3/85","47/10856",0.0058607019951725,0.0284891029674251,0.0201530631923907,"2335/2244/2266",3
"R-HSA-6802949","R-HSA-6802949","Signaling by RAS mutants","3/85","47/10856",0.0058607019951725,0.0284891029674251,0.0201530631923907,"2335/2244/2266",3
"R-HSA-6802955","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","3/85","47/10856",0.0058607019951725,0.0284891029674251,0.0201530631923907,"2335/2244/2266",3
"R-HSA-9649948","R-HSA-9649948","Signaling downstream of RAS mutants","3/85","47/10856",0.0058607019951725,0.0284891029674251,0.0201530631923907,"2335/2244/2266",3
"R-HSA-447115","R-HSA-447115","Interleukin-12 family signaling","3/85","57/10856",0.0100002860032758,0.0435605306097564,0.0308145232609209,"6772/302/6648",3
"R-HSA-1236394","R-HSA-1236394","Signaling by ERBB4","3/85","58/10856",0.0104870383430566,0.0435605306097564,0.0308145232609209,"6678/6387/348",3
"R-HSA-1236977","R-HSA-1236977","Endosomal/Vacuolar pathway","2/85","11/10856",0.00318295174260771,0.020354909022035,0.014398971012372,"567/1514",2
"R-HSA-2022923","R-HSA-2022923","Dermatan sulfate biosynthesis","2/85","11/10856",0.00318295174260771,0.020354909022035,0.014398971012372,"1634/1462",2
"R-HSA-430116","R-HSA-430116","GP1b-IX-V activation signalling","2/85","12/10856",0.00380017095773057,0.0227279455356578,0.0160776463596293,"1278/1277",2
"R-HSA-75205","R-HSA-75205","Dissolution of Fibrin Clot","2/85","13/10856",0.00446834734087706,0.0252664731456867,0.0178733893635083,"302/6281",2
"R-HSA-2024101","R-HSA-2024101","CS/DS degradation","2/85","14/10856",0.00518666416951098,0.0279723469626228,0.0197875123208264,"1634/1462",2
"R-HSA-2214320","R-HSA-2214320","Anchoring fibril formation","2/85","15/10856",0.00595431412502453,0.0284891029674251,0.0201530631923907,"1278/1277",2
"R-HSA-75892","R-HSA-75892","Platelet Adhesion to exposed collagen","2/85","15/10856",0.00595431412502453,0.0284891029674251,0.0201530631923907,"1278/1277",2
"R-HSA-5602498","R-HSA-5602498","MyD88 deficiency (TLR2/4)","2/85","17/10856",0.00763443059653766,0.0359743623564123,0.0254481019884589,"2244/2266",2
"R-HSA-5603041","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","2/85","18/10856",0.00854532864997094,0.0396656300021039,0.0280592881043822,"2244/2266",2
"R-HSA-190872","R-HSA-190872","Transport of connexons to the plasma membrane","2/85","19/10856",0.00950242272074669,0.0428297603790177,0.0302975796893373,"2697/2706",2
"R-HSA-8963898","R-HSA-8963898","Plasma lipoprotein assembly","2/85","19/10856",0.00950242272074669,0.0428297603790177,0.0302975796893373,"348/341",2
"R-HSA-2022870","R-HSA-2022870","Chondroitin sulfate biosynthesis","2/85","20/10856",0.0105049511116776,0.0435605306097564,0.0308145232609209,"1634/1462",2
"R-HSA-3560783","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","2/85","20/10856",0.0105049511116776,0.0435605306097564,0.0308145232609209,"1634/1462",2
"R-HSA-3560801","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","2/85","20/10856",0.0105049511116776,0.0435605306097564,0.0308145232609209,"1634/1462",2
"R-HSA-4420332","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","2/85","20/10856",0.0105049511116776,0.0435605306097564,0.0308145232609209,"1634/1462",2
"R-HSA-5686938","R-HSA-5686938","Regulation of TLR by endogenous ligand","2/85","21/10856",0.0115521609762304,0.0472726587316798,0.0334404659838249,"2244/2266",2
